                                                                            ROUGE      BLEU    METEOR  BERTScore  relevance      FKGL      DCRS       CLI      LENS  readability  AlignScore    SummaC  factuality     score
extractive_elife_train_pubmedbert-base_30                                0.146678  0.053958  0.960639   0.000000   0.290319  0.163477  0.395735  0.164752  0.000000     0.180991    0.939903  0.924045    0.931974  0.467761
extractive_elife_train_medical-term-similarity_20                        0.370415  0.175622  0.864234   0.061891   0.368041  0.123418  0.276634  0.093552  0.037958     0.132891    0.894361  0.859647    0.877004  0.459312
extractive_elife_train_MedEmbed-large_20                                 0.351983  0.153691  0.860919   0.066953   0.358387  0.135112  0.288658  0.121318  0.033674     0.144690    0.880709  0.868573    0.874641  0.459239
extractive_elife_train_S-PubMedBert-MS-MARCO_30                          0.148985  0.055567  0.980753   0.055010   0.310078  0.159656  0.378051  0.175507  0.024712     0.184482    0.893053  0.869377    0.881215  0.458592
extractive_elife_train_pubmedbert-base_20                                0.334876  0.143302  0.862551   0.019914   0.340161  0.144721  0.273331  0.140674  0.025360     0.146021    0.873857  0.885992    0.879925  0.455369
extractive_zero-shot_elife_validation_BioBERT_20                         0.687424  0.433929  0.453533   0.193067   0.441988  0.806004  0.802098  0.727609  0.841271     0.794246    0.096790  0.105669    0.101230  0.445821
extractive_elife_train_S-PubMedBert-MS-MARCO_20                          0.328452  0.136343  0.878719   0.034828   0.344585  0.101421  0.265856  0.134478  0.023577     0.131333    0.871842  0.837697    0.854769  0.443563
extractive_elife_train_BioBERT_10                                        0.391136  0.265746  0.123229   0.237224   0.254334  0.000000  0.054654  0.000000  0.158688     0.053336    1.000000  0.998378    0.999189  0.435619
extractive_zero-shot_elife_validation_BioBERT_30                         0.713690  0.471845  0.509968   0.198043   0.473387  0.752775  0.781827  0.673897  0.812416     0.755229    0.083152  0.067797    0.075474  0.434697
abstractive_elife_validation_llama-zero-shot                             0.721095  0.505720  0.488099   0.380967   0.523970  0.565755  0.670953  0.532588  0.836864     0.651540    0.242863  0.000000    0.121432  0.432314
extractive_zero-shot_elife_validation_512tokens_BioBERT_20               0.696786  0.445272  0.626140   0.050176   0.454593  0.784914  0.810289  0.707854  0.813393     0.779113    0.001602  0.098739    0.050171  0.427959
extractive_zero-shot_elife_validation_512tokens_BioBERT_20_preprocessed  0.690939  0.437645  0.623786   0.055957   0.452082  0.787797  0.812986  0.707542  0.831684     0.785002    0.000000  0.081107    0.040553  0.425879
extractive_zero-shot_elife_validation_BioBERT_10                         0.606401  0.332645  0.299169   0.151594   0.347452  0.835501  0.815234  0.761854  0.883169     0.823939    0.095974  0.107291    0.101633  0.424341
extractive_elife_train_medical-term-similarity_10                        0.376166  0.261481  0.133774   0.161445   0.233217  0.044343  0.053165  0.003083  0.166436     0.066757    0.991586  0.952239    0.971913  0.423962
abstractive_elife_train_llama-zero-shot                                  0.701780  0.517973  0.542990   0.373046   0.533947  0.527364  0.692945  0.433972  0.807495     0.615444    0.218044  0.026944    0.122494  0.423962
extractive_zero-shot_elife_validation_256tokens_BioBERT_20_preprocessed  0.543230  0.213753  0.000000   0.406282   0.290816  0.816333  0.752948  0.756247  0.936897     0.815606    0.209496  0.099551    0.154523  0.420315
extractive_zero-shot_elife_validation_BioBERT_10_preprocessed            0.633468  0.362237  0.359353   0.200597   0.388914  0.831817  0.091496  0.765647  0.881714     0.642668    0.099470  0.108610    0.104040  0.378541
extractive_zero-shot_elife_validation_BioBERT_30_preprocessed            0.706895  0.451237  0.511901   0.234286   0.476080  0.779132  0.000000  0.698652  0.824373     0.575539    0.094474  0.070356    0.082415  0.378011
extractive_zero-shot_elife_validation_BioBERT_20_preprocessed            0.682075  0.421716  0.486066   0.188795   0.444663  0.812964  0.050976  0.738352  0.839623     0.610479    0.062981  0.081610    0.072295  0.375812
